NAWQA_ID,DATE,TIME,PFAS,PREP_DATE,MTXSPK
STRVPAS2-04,8/6/2019,1513,PFOA,3/4/2020,95.25
STRVPAS2-05,8/7/2019,1113,PFOA,3/4/2020,88
NECBSUS3-06,7/31/2019,1113,PFOS,3/4/2020,94.34395248
NECBSUS3-08,8/8/2019,1113,PFOS,3/10/2020,96.07181425
NECBSUS3-09,8/14/2019,1113,PFOS,3/4/2020,98.67710583
NECBSUS3-10,8/15/2019,1113,PFOS,3/4/2020,104.1711663
NECBSUS3-11,9/3/2019,1113,PFOS,3/4/2020,97.19222462
NECBSUS3-12,9/5/2019,1113,PFOS,3/4/2020,93.6825054
NECBSUS3-13,9/12/2019,1113,PFOS,3/4/2020,98.42062635
NECBSUS3-20,8/20/2019,1113,PFOS,3/4/2020,108.6663067
NECBSUS3-21,8/22/2019,1113,PFOS,3/4/2020,97.19222462
NECBSUS3-25,8/21/2019,1113,PFOS,3/4/2020,99.75701944
NECBSUS3-26,9/10/2019,1113,PFOS,3/4/2020,97.73218143
STRVPAS2-01,8/5/2019,1013,PFOS,3/4/2020,95.30237581
STRVPAS2-02,8/5/2019,1513,PFOS,3/4/2020,101.9168467
STRVPAS2-03,8/6/2019,1013,PFOS,3/4/2020,96.65226782
STRVPAS2-04,8/6/2019,1513,PFOS,3/4/2020,102.5512959
STRVPAS2-05,8/7/2019,1113,PFOS,3/4/2020,94.76241901
NECBSUS3-06,7/31/2019,1113,PFTeDA,3/4/2020,81.75
NECBSUS3-08,8/8/2019,1113,PFTeDA,3/10/2020,79.75
NECBSUS3-09,8/14/2019,1113,PFTeDA,3/4/2020,83.875
NECBSUS3-10,8/15/2019,1113,PFTeDA,3/4/2020,84.625
NECBSUS3-11,9/3/2019,1113,PFTeDA,3/4/2020,77.125
NECBSUS3-12,9/5/2019,1113,PFTeDA,3/4/2020,76
NECBSUS3-13,9/12/2019,1113,PFTeDA,3/4/2020,90.125
NECBSUS3-20,8/20/2019,1113,PFTeDA,3/4/2020,90.875
NECBSUS3-21,8/22/2019,1113,PFTeDA,3/4/2020,79.625
NECBSUS3-25,8/21/2019,1113,PFTeDA,3/4/2020,82.5
NECBSUS3-26,9/10/2019,1113,PFTeDA,3/4/2020,81.25
STRVPAS2-01,8/5/2019,1013,PFTeDA,3/4/2020,76.875
STRVPAS2-02,8/5/2019,1513,PFTeDA,3/4/2020,80.75
STRVPAS2-03,8/6/2019,1013,PFTeDA,3/4/2020,74.875
STRVPAS2-04,8/6/2019,1513,PFTeDA,3/4/2020,83.875
STRVPAS2-05,8/7/2019,1113,PFTeDA,3/4/2020,76.5
NECBSUS3-06,7/31/2019,1113,PFTrDA,3/4/2020,111.25
NECBSUS3-08,8/8/2019,1113,PFTrDA,3/10/2020,119.625
NECBSUS3-09,8/14/2019,1113,PFTrDA,3/4/2020,120.875
NECBSUS3-10,8/15/2019,1113,PFTrDA,3/4/2020,115.25
NECBSUS3-11,9/3/2019,1113,PFTrDA,3/4/2020,105.5
NECBSUS3-12,9/5/2019,1113,PFTrDA,3/4/2020,110.375
NECBSUS3-13,9/12/2019,1113,PFTrDA,3/4/2020,122.375
NECBSUS3-20,8/20/2019,1113,PFTrDA,3/4/2020,121.125
NECBSUS3-21,8/22/2019,1113,PFTrDA,3/4/2020,109.25
NECBSUS3-25,8/21/2019,1113,PFTrDA,3/4/2020,112.125
NECBSUS3-26,9/10/2019,1113,PFTrDA,3/4/2020,110.75
STRVPAS2-01,8/5/2019,1013,PFTrDA,3/4/2020,103.625
STRVPAS2-02,8/5/2019,1513,PFTrDA,3/4/2020,110.5
STRVPAS2-03,8/6/2019,1013,PFTrDA,3/4/2020,109.5
STRVPAS2-04,8/6/2019,1513,PFTrDA,3/4/2020,115.25
STRVPAS2-05,8/7/2019,1113,PFTrDA,3/4/2020,103.625
NECBSUS3-06,7/31/2019,1113,PFUnDA,3/4/2020,86.875
NECBSUS3-08,8/8/2019,1113,PFUnDA,3/10/2020,88.25
NECBSUS3-09,8/14/2019,1113,PFUnDA,3/4/2020,95.375
NECBSUS3-10,8/15/2019,1113,PFUnDA,3/4/2020,96.75
NECBSUS3-11,9/3/2019,1113,PFUnDA,3/4/2020,89.25
NECBSUS3-12,9/5/2019,1113,PFUnDA,3/4/2020,88.125
NECBSUS3-13,9/12/2019,1113,PFUnDA,3/4/2020,92.375
NECBSUS3-20,8/20/2019,1113,PFUnDA,3/4/2020,100.5
NECBSUS3-21,8/22/2019,1113,PFUnDA,3/4/2020,90
NECBSUS3-25,8/21/2019,1113,PFUnDA,3/4/2020,93.5
NECBSUS3-26,9/10/2019,1113,PFUnDA,3/4/2020,91.375
STRVPAS2-01,8/5/2019,1013,PFUnDA,3/4/2020,87.125
STRVPAS2-02,8/5/2019,1513,PFUnDA,3/4/2020,95.125
STRVPAS2-03,8/6/2019,1013,PFUnDA,3/4/2020,87.75
STRVPAS2-04,8/6/2019,1513,PFUnDA,3/4/2020,91.375
STRVPAS2-05,8/7/2019,1113,PFUnDA,3/4/2020,84.75
