NAWQA_ID,DATE,TIME,TURB-RMK,TURB-VA,O2-RMK,O2-VA,PH-RMK,PH-VA,SC-RMK,SC-VA,CA-RMK,CA-VA,MG-RMK,MG-VA,BR-RMK,BR-VA,CL-RMK,CL-VA,SO4-RMK,SO4-VA,TDS-RMK,TDS-VA,NH4-RMK,NH4-VA,NO3-RMK,NO3-VA,ON-RMK,ON-VA,TN-RMK,TN-VA,OP-RMK,OP-VA,DOC-RMK,DOC-VA,B-RMK,B-VA,CR-RMK,CR-VA,FE-RMK,FE-VA,MN-RMK,MN-VA,U-RMK,U-VA,V-RMK,V-VA,3H-RMK,3H-VA,3H_CSU-RMK,3H_CSU-VA,3H_SSCL-RMK,3H_SSCL-VA
NECBSUS3-10,8/15/2019,1100,,1.6,,0.5,,7.1,,422.0,,17.5,,29.5,,0.059,,64.7,,16.2,,237,,0.09,,0.883,,0.06,,1.03,,0.017,,1.04,,20,<,0.5,,34.7,,169.0,,1.24,,0.57,,3.53,,0.1,,0.08
NECBSUS3-11,9/3/2019,1100,,0.8,,3.7,,6.9,,308.0,,33.0,,8.4,,0.05,,36.1,,19.3,,182,<,0.01,,0.47,<,0.03,,0.5,,0.011,,0.42,,11,<,0.5,,13.8,,95.7,,0.381,,0.14,,3.77,,0.11,,0.06
NECBSUS3-12,9/5/2019,1100,,0.8,,6.9,,5.7,,125.0,,3.3,,2.01,,0.022,,29.2,,5.6,,77,<,0.01,,0.24,<,0.02,,0.26,,0.008,,0.39,,6,<,0.5,,20.4,,21.6,<,0.03,<,0.1,,2.98,,0.09,,0.07
NECBSUS3-13,9/12/2019,1100,,0.6,,3.2,,6.0,,611.0,,22.7,,3.76,,0.078,,166.0,,10.4,,351,,0.01,,0.981,,0.18,,1.18,,0.016,,1.7,,10,<,0.5,,155.0,,111.0,,0.103,,0.5,,4.87,,0.13,,0.06
NECBSUS3-15,9/19/2019,1100,,0.6,,0.1,,5.9,,1110.0,,35.5,,4.84,,0.113,,333.0,,17.2,,620,,0.07,,0.503,,0.19,,0.76,,0.021,,3.61,,25,<,1.0,,111.0,,708.0,,1.64,,0.52,,4.08,,0.11,,0.08
NECBSUS3-16,9/26/2019,1100,,0.9,,0.8,,6.2,,860.0,,36.7,,8.14,,0.067,,219.0,,31.9,,469,,0.17,,2.38,,0.04,,2.6,<,0.008,,1.38,,24,<,0.5,,8750.0,,596.0,,0.201,,0.19,,4.57,,0.11,,0.06
NECBSUS3-17,10/8/2019,1100,,0.8,,3.0,,5.7,,309.0,,12.0,,2.99,,0.025,,79.5,,11.8,,172,,0.07,,1.1,,0.06,,1.23,<,0.004,,0.72,,20,<,0.5,,511.0,,115.0,,0.186,<,0.1,,5.31,,0.12,,0.04
NECBSUS3-18,7/24/2019,1100,,0.8,,4.1,,6.7,,173.0,,12.8,,1.16,,0.021,,30.9,,2.2,,98,<,0.01,,0.691,<,0.12,,0.81,,0.005,,1.85,,6,<,0.5,,92.7,,26.8,,1.25,,0.39,,5.68,(,0.13,,0.06
NECBSUS3-21,8/22/2019,1100,,1.6,,0.4,,6.1,,104.0,,4.59,,0.762,,0.013,,21.8,,3.15,,57,<,0.01,,0.048,<,0.06,,0.11,,0.006,,1.35,<,5,<,0.5,,32.2,,30.6,,0.031,,0.12,,6.53,,0.11,,0.06
NECBSUS3-22,9/11/2019,1100,,1.5,,3.6,,6.0,,86.0,,4.96,,0.757,<,0.01,,14.3,,3.57,,54,<,0.01,,0.22,,,,0.21,,0.004,,0.49,<,5,<,0.5,,11.6,,2.18,,0.637,<,0.1,,4.7,,0.13,,0.08
NECBSUS3-23,9/25/2019,1100,,0.3,,8.8,,6.1,,262.0,,16.3,,3.51,,0.02,,65.6,,4.61,,155,<,0.01,,0.267,<,0.01,,0.28,,0.012,,0.42,<,5,<,0.5,<,10.0,,44.0,<,0.03,<,0.1,,4.93,,0.11,,0.07
NECBSUS3-24,7/24/2019,1300,,0.6,,5.2,,5.9,,429.0,,15.2,,2.8,,0.018,,113.0,,8.77,,237,<,0.01,,0.71,<,0.03,,0.74,<,0.004,,0.58,,7,<,0.5,<,10.0,,4.67,,0.112,<,0.1,,4.86,,0.09,,0.05
NECBSUS3-25,8/21/2019,1100,,0.9,,8.8,,6.4,,289.0,,16.0,,2.51,,0.015,,61.9,,8.1,,172,<,0.01,,1.04,<,0.06,,1.11,<,0.004,,0.45,,11,<,0.5,,18.6,,3.18,,1.64,,0.14,,4.28,,0.11,,0.05
NECBSUS3-27,9/24/2019,1100,,1.0,,5.4,,6.5,,708.0,,8.74,,2.22,<,0.01,,1.15,,6.24,,46,<,0.01,,0.105,,,,0.1,,0.008,,0.41,<,5,<,0.5,<,10.0,<,0.4,,0.084,<,0.1,,4.58,,0.11,,0.06
STRVPAS2-01,8/5/2019,1000,,,,0.05,,7.1,,511.0,,71.4,,18.6,,0.052,,4.58,,3.14,,285,,0.34,<,0.037,<,0.08,,0.42,,0.009,,0.93,,15,<,0.5,,899.0,,564.0,,0.061,<,0.1,,0.24,,0.09,,0.09
STRVPAS2-02,8/5/2019,1500,,,,0.03,,7.8,,470.0,,38.2,,11.6,,0.261,,54.3,,14.2,,254,,0.19,<,0.04,<,0.05,,0.24,<,0.004,,0.27,,97,<,0.5,,440.0,,26.9,<,0.03,<,0.1,R,0.01,,0.13,,0.13
STRVPAS2-03,8/6/2019,1000,,,,0.1,,6.9,,422.0,,69.0,,9.19,,0.09,,8.56,,22.4,,239,<,0.01,,0.07,<,0.01,,0.08,,0.01,,0.24,<,5,<,0.5,,154.0,,26.8,,0.501,<,0.1,,0.53,,0.16,,0.15
STRVPAS2-04,8/6/2019,1500,,,,0.9,,6.8,,612.0,,94.1,,14.7,,0.05,,19.0,,23.3,,349,,0.13,,0.073,,0.05,,0.26,,0.018,,1.56,,73,<,0.5,,295.0,,510.0,,0.323,,0.29,,3.46,,0.2,,0.13
STRVPAS2-05,8/7/2019,1100,,,,1.8,,7.2,,637.0,,82.6,,33.7,,0.03,,8.73,,16.3,,365,,0.47,<,0.04,,,,0.46,,0.172,,0.59,,12,<,0.5,,2680.0,,178.0,,0.123,<,0.1,,1.1,,0.13,,0.12
STRVPAS2-06,8/8/2019,1000,,,,3.6,,6.7,,614.0,,86.9,,25.8,,0.041,,24.0,,44.0,,358,,0.02,<,0.04,<,0.04,<,0.05,,0.02,,0.38,,31,<,0.5,,727.0,,616.0,,0.58,<,0.1,,2.4,,0.18,,0.14
