NAWQA_ID,DATE,TIME,4_2 FTS-RMK,4_2 FTS-VA,6_2 FTS-RMK,6_2 FTS-VA,8_2 FTS-RMK,8_2 FTS-VA,N-EtFOSAA-RMK,N-EtFOSAA-VA,N-MeFOSAA-RMK,N-MeFOSAA-VA,PFBS-RMK,PFBS-V,PFBA-RMK,PFBA-VA,PFDS-RMK,PFDS-VA,PFDA-RMK,PFDA-VA,PFDoA-RMK,PFDoA-VA,PFHpS-RMK,PFHpS-VA,PFHpA-RMK,PFHpA-VA,PFHxS-RMK,PFHxS-VA,PFHxA-RMK,PFHxA-VA,PFNS-RMK,PFNS-VA,PFNA-RMK,PFNA-VA,PFOSA-RMK,PFOSA-VA,PFOS-RMK,PFOS-VA,PFOA-RMK,PFOA-VA,PFPeS-RMK,PFPeS-VA,PFPeA-RMK,PFPeA-VA,PFTeDA-RMK,PFTeDA-VA,PFTrDA-RMK,PFTrDA-VA,PFUnA-RMK,PFUnA-VA
NECBLUSRC1-21,6/26/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,,9.2,n,3.9,<,4.0,<,4.0,<,4.0,<,4.0,n,2.8,n,2.6,,10.0,<,4.0,<,4.0,<,4.0,,5.5,,12.0,<,4.0,,7.9,<,4.0,<,4.0,<,4.0
NECBLUSRC1-22,6/26/2019,1300,<,9.6,<,9.6,<,9.6,<,24.0,<,24.0,n,2.2,<,9.6,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8,<,4.8
NECBLUSRC1-23,6/27/2019,1100,<,8.3,<,8.3,<,8.3,<,21.0,<,21.0,n,2.8,n,3.7,<,4.2,<,4.2,<,4.2,<,4.2,n,3.7,n,2.1,,5.8,<,4.2,<,4.2,<,4.2,<,4.2,,9.7,<,4.2,,6.3,<,4.2,<,4.2,<,4.2
NECBLUSRC1-24,6/27/2019,1300,<,8.3,<,8.3,<,8.3,<,21.0,<,21.0,<,4.2,n,3.4,<,4.2,<,4.2,<,4.2,<,4.2,<,4.2,n,1.4,n,2.2,<,4.2,<,4.2,<,4.2,<,4.2,n,3.5,<,4.2,,4.5,<,4.2,<,4.2,<,4.2
NECBLUSRC1-25,7/9/2019,1300,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,,4.6,n,1.5,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
NECBLUSRC1-26,7/10/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,,5.4,n,3.0,<,4.0,<,4.0,<,4.0,<,4.0,n,1.2,<,4.0,n,3.6,<,4.0,<,4.0,<,4.0,,4.4,n,3.1,<,4.0,n,2.7,<,4.0,<,4.0,<,4.0
NECBLUSRC1-27,7/11/2019,1300,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,n,2.8,n,5.5,<,4.0,<,4.0,<,4.0,<,4.0,n,3.2,n,3.4,n,3.0,<,4.0,<,4.0,<,4.0,,16.0,,7.5,<,4.0,n,3.5,<,4.0,<,4.0,<,4.0
NECBLUSRC1-28,6/3/2019,1100,<,7.7,<,7.7,<,7.7,<,19.0,<,19.0,,4.5,<,7.7,<,3.8,<,3.8,<,3.8,<,3.8,n,1.7,n,1.0,<,3.8,<,3.8,<,3.8,<,3.8,n,2.8,,5.9,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8
NECBSUS3-01,8/13/2019,1100,<,8.3,<,8.3,<,8.3,<,21.0,<,21.0,,4.6,n,2.8,<,4.2,n,2.2,<,4.2,<,4.2,n,2.6,n,1.8,n,3.2,<,4.2,n,1.6,<,4.2,,4.9,,7.5,<,4.2,n,3.5,<,4.2,<,4.2,n,1.0
NECBSUS3-02,9/16/2019,1100,<,7.4,<,7.4,<,7.4,<,19.0,<,19.0,<,3.7,<,7.4,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,n,3.0,n,1.2,<,3.7,<,3.7,<,3.7,<,3.7,n,1.8,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7
